Date,Open,High,Low,Close,Adj Close,Volume,SYM
2011-05-04,47.740002000000004,47.740002000000004,47.740002000000004,47.740002000000004,39.755138,0,FXAIX
2011-05-05,47.310001,47.310001,47.310001,47.310001,39.397064,0,FXAIX
2011-05-06,47.5,47.5,47.5,47.5,39.55529,0,FXAIX
2011-05-09,47.709998999999996,47.709998999999996,47.709998999999996,47.709998999999996,39.73016,0,FXAIX
2011-05-10,48.099998,48.099998,48.099998,48.099998,40.054932,0,FXAIX
2011-05-11,47.59,47.59,47.59,47.59,39.63023,0,FXAIX
2011-05-12,47.830002,47.830002,47.830002,47.830002,39.830101,0,FXAIX
2011-05-13,47.439999,47.439999,47.439999,47.439999,39.505314,0,FXAIX
2011-05-16,47.150002,47.150002,47.150002,47.150002,39.263832,0,FXAIX
2011-05-17,47.150002,47.150002,47.150002,47.150002,39.263832,0,FXAIX
2011-05-18,47.57,47.57,47.57,47.57,39.613579,0,FXAIX
2011-05-19,47.68,47.68,47.68,47.68,39.705181,0,FXAIX
2011-05-20,47.310001,47.310001,47.310001,47.310001,39.397064,0,FXAIX
2011-05-23,46.75,46.75,46.75,46.75,38.930733000000004,0,FXAIX
2011-05-24,46.709998999999996,46.709998999999996,46.709998999999996,46.709998999999996,38.897422999999996,0,FXAIX
2011-05-25,46.860001000000004,46.860001000000004,46.860001000000004,46.860001000000004,39.022335,0,FXAIX
2011-05-26,47.060001,47.060001,47.060001,47.060001,39.188877000000005,0,FXAIX
2011-05-27,47.259997999999996,47.259997999999996,47.259997999999996,47.259997999999996,39.355438,0,FXAIX
2011-05-31,47.759997999999996,47.759997999999996,47.759997999999996,47.759997999999996,39.771801,0,FXAIX
2011-06-01,46.68,46.68,46.68,46.68,38.872437,0,FXAIX
2011-06-02,46.619999,46.619999,46.619999,46.619999,38.822472,0,FXAIX
2011-06-03,46.169998,46.169998,46.169998,46.169998,38.447739,0,FXAIX
2011-06-06,45.68,45.68,45.68,45.68,38.0397,0,FXAIX
